Département,Votants,Blancs,Exprimés,ARTHAUD,ROUSSEL,MACRON,LASSALLE,LE PEN,ZEMMOUR,MÉLENCHON,HIDALGO,JADOT,PÉCRESSE,POUTOU,DUPONT-AIGNAN,Abstention_rate,ARTHAUD_percent,ROUSSEL_percent,MACRON_percent,LASSALLE_percent,LE PEN_percent,ZEMMOUR_percent,MÉLENCHON_percent,HIDALGO_percent,JADOT_percent,PÉCRESSE_percent,POUTOU_percent,DUPONT-AIGNAN_percent,employment,security,Winner_2017
INDRE,124694,2451,120997,1085,3702,31498,4984,34516,7438,20954,2464,3726,6589,1155,2886,24.92835641,0.653220951,2.228777845,18.96327514,3.000602047,20.78025286,4.478025286,12.61529199,1.483443709,2.243226972,3.966887417,0.695364238,1.737507526,3488,36610,LE PEN
INDRE-ET-LOIRE,334966,5437,327490,2243,7835,101503,8520,70553,19931,68012,6216,16245,16279,2882,7271,23.95812051,0.509191786,1.778652537,23.04257415,1.934156939,16.01649936,4.524610558,15.43965748,1.411117316,3.687837967,3.695556433,0.654253556,1.650616796,12980,54266,MACRON
ISÃ?RE,686764,10990,672296,3479,14694,180533,17025,154799,47450,153474,12736,40378,28575,4826,14327,22.43810987,0.392911999,1.659513914,20.3890721,1.922772859,17.48272046,5.3589176,17.33307734,1.438380918,4.560218648,3.227209071,0.545039754,1.618065595,25654,107746,MACRON
JURA,148963,2625,145227,1053,3166,36139,6218,38179,9657,28882,2635,6388,7424,1343,4143,21.84399545,0.552474593,1.66109645,18.96094902,3.262380835,20.03127017,5.066711438,15.15343893,1.382498151,3.351574264,3.895129514,0.70462809,2.173696333,7031,36643,LE PEN
LA RÃ?UNION,362380,7361,346766,3538,3074,62542,4844,85770,13070,139604,5549,7994,9738,2705,8338,46.35690908,0.52372994,0.455044046,9.258088726,0.717057046,12.69652825,1.934751362,20.66557223,0.821418156,1.183351368,1.44151559,0.400420997,1.234273669,11515,66986,MÃ?LENCHON
LANDES,263683,4033,258050,1115,8176,69459,24308,58646,16817,44548,9071,8628,10393,1975,4914,19.93520315,0.338558984,2.482563453,21.09055466,7.380889484,17.80729162,5.106319666,13.52657005,2.754321561,2.619808889,3.155734096,0.59968968,1.492088651,10801,48046,MACRON
LOIR-ET-CHER,185368,3181,180810,1246,4507,50480,5483,50212,12703,30377,3165,7097,9586,1527,4427,24.25240481,0.509157479,1.841711684,20.62782468,2.240538089,20.51831087,5.19087276,12.4130632,1.293325379,2.900072737,3.917161794,0.623983524,1.809020996,7350,54266,MACRON
LOIRE,395202,6664,385938,2390,9017,104003,11928,97764,28706,78169,6970,16656,18539,2767,9029,23.08162415,0.465166974,1.754983515,20.24215931,2.321552996,19.02785941,5.587064076,15.21407412,1.356574814,3.241766155,3.608255449,0.538542684,1.757319081,15054,264521,MACRON
LOIRE-ATLANTIQUE,820354,13373,802422,4712,18322,256609,18298,135702,42761,187977,18369,60072,37541,7280,14779,22.36590949,0.445919487,1.733900007,24.28415822,1.73162877,12.84214053,4.046681486,17.78917812,1.738347846,5.684905644,3.552687488,0.688941821,1.398608678,31495,54266,MACRON
LOIRET,343082,5512,335422,1959,7530,97004,8483,85832,22878,63486,5656,14401,18086,2433,7674,25.01759371,0.428149929,1.645721779,21.20074309,1.854005027,18.75904273,5.000109278,13.8752049,1.236149055,3.147415583,3.952792045,0.531745164,1.677193749,12958,64086,MACRON
