Libellé du département,% Abs/Ins,% Vot/Ins,% Blancs/Ins,% Blancs/Vot,% Nuls/Ins,% Nuls/Vot,% Exp/Ins,% Exp/Vot,% Voix/Ins,% Voix/Exp,% Voix/Ins.1,% Voix/Exp.1,% Voix/Ins.2,% Voix/Exp.2,% Voix/Ins.3,% Voix/Exp.3,% Voix/Ins.4,% Voix/Exp.4,% Voix/Ins.5,% Voix/Exp.5,% Voix/Ins.6,% Voix/Exp.6,% Voix/Ins.7,% Voix/Exp.7,% Voix/Ins.8,% Voix/Exp.8,% Voix/Ins.9,% Voix/Exp.9,% Voix/Ins.10,% Voix/Exp.10,% Voix/Ins.11,% Voix/Exp.11
Côtes-d'Armor,20.490000000000002,79.51,1.216,1.528,0.65,0.818,77.644,97.654,0.556,0.714,2.496,3.216,23.976,30.886000000000003,2.56,3.2960000000000003,17.036,21.92,3.626,4.668,15.754,20.308,1.7580000000000002,2.268,4.056,5.228,3.6399999999999997,4.684,0.834,1.074,1.3539999999999999,1.7420000000000002
Deux-Sèvres,21.763333333333332,78.23666666666666,1.41,1.8,0.79,1.01,76.04333333333334,97.19333333333334,0.6033333333333334,0.79,1.6533333333333333,2.1733333333333333,25.113333333333333,33.026666666666664,2.56,3.373333333333333,17.543333333333333,23.09,3.216666666666667,4.233333333333333,14.24,18.706666666666667,1.5866666666666667,2.0833333333333335,3.676666666666667,4.826666666666667,3.4066666666666667,4.486666666666667,0.7766666666666667,1.0233333333333334,1.66,2.19
Dordogne,20.3375,79.66250000000001,1.15,1.44,0.9724999999999999,1.2175,77.54249999999999,97.3425,0.4125,0.5325,2.795,3.6025,18.4075,23.747500000000002,4.96,6.395,19.985,25.7775,4.945,6.3875,15.717500000000001,20.265,1.685,2.1725000000000003,2.6625,3.4375,3.555,4.58,0.7050000000000001,0.9075,1.7,2.1925
Doubs,22.992,77.00800000000001,1.3539999999999999,1.7559999999999998,0.592,0.768,75.064,97.47200000000001,0.568,0.758,1.3619999999999999,1.818,20.46,27.188,2.34,3.116,18.364,24.572,5.314,7.087999999999999,15.11,20.124000000000002,1.3219999999999998,1.7579999999999998,3.4659999999999997,4.5920000000000005,4.024,5.346,0.636,0.842,2.098,2.7960000000000003
Drôme,22.2925,77.70750000000001,1.19,1.53,0.4975,0.64,76.015,97.83,0.53,0.6975,1.7475,2.2975000000000003,18.9725,24.9925,2.54,3.33,18.375,24.2,5.755,7.5825,16.9825,22.295,1.3875,1.8225,3.7199999999999998,4.890000000000001,3.455,4.545,0.5425,0.7124999999999999,2.005,2.6375
Essonne,24.296,75.704,1.1099999999999999,1.4629999999999999,0.42800000000000005,0.568,74.168,97.964,0.35,0.47400000000000003,1.684,2.274,20.449,27.413,1.418,1.905,12.9,17.41,4.8469999999999995,6.516,21.331,29.006999999999998,0.9949999999999999,1.3359999999999999,3.6700000000000004,4.9030000000000005,4.098,5.488,0.533,0.721,1.89,2.554
Eure,24.598000000000003,75.402,1.178,1.558,0.41200000000000003,0.548,73.80799999999999,97.89,0.512,0.6900000000000001,1.634,2.214,19.244,26.07,1.802,2.4379999999999997,23.844,32.298,4.8420000000000005,6.566,12.818000000000001,17.380000000000003,0.93,1.26,2.658,3.6019999999999994,3.146,4.258,0.626,0.85,1.754,2.372
Eure-et-Loir,25.9975,74.0025,1.155,1.5625,0.4675,0.63,72.3825,97.81,0.4725,0.6525000000000001,1.4,1.935,19.5275,26.95,1.885,2.6025,20.6975,28.5925,4.855,6.702500000000001,13.2575,18.3725,1.0,1.3775,2.5324999999999998,3.4925,4.285,5.91,0.5825,0.8075,1.89,2.61
Finistère,21.90125,78.09875,1.2275,1.58,0.45,0.57375,76.42,97.85125,0.51,0.665,2.16625,2.83375,24.56125,32.11,2.57,3.355,14.161249999999999,18.51375,3.6125,4.73625,16.50375,21.6375,1.84375,2.41625,4.672499999999999,6.12375,3.73375,4.88125,0.8825000000000001,1.1524999999999999,1.2037499999999999,1.57375
Français établis hors de France,65.16,34.84,0.22545454545454546,0.6545454545454545,0.1527272727272727,0.4627272727272727,34.45818181818182,98.88272727272728,0.09090909090909091,0.2672727272727273,0.2290909090909091,0.6663636363636364,15.441818181818183,44.623636363636365,0.4190909090909091,1.1790909090909092,1.8927272727272728,5.475454545454546,3.102727272727273,9.610000000000001,7.5636363636363635,21.84181818181818,0.84,2.4554545454545456,2.7100000000000004,7.6054545454545455,1.470909090909091,4.264545454545455,0.21181818181818182,0.6054545454545455,0.49,1.4018181818181819
Gard,24.005,75.995,1.05,1.38,0.4483333333333333,0.5883333333333334,74.49833333333333,98.03166666666668,0.31666666666666665,0.425,2.17,2.9066666666666663,15.911666666666667,21.368333333333336,2.7099999999999995,3.623333333333333,21.811666666666667,29.224999999999998,6.948333333333333,9.335,16.01,21.551666666666666,1.1816666666666666,1.585,2.6966666666666668,3.6233333333333335,2.7883333333333336,3.746666666666666,0.48500000000000004,0.6483333333333333,1.4633333333333332,1.9583333333333333
Gers,19.189999999999998,80.81,1.2,1.4849999999999999,0.575,0.715,79.035,97.805,0.36,0.455,2.12,2.685,19.67,24.884999999999998,7.955,10.07,17.665,22.35,5.705,7.21,14.5,18.345,2.62,3.315,2.7800000000000002,3.5149999999999997,3.48,4.404999999999999,0.54,0.6799999999999999,1.6400000000000001,2.08
Gironde,21.536666666666665,78.46333333333332,1.0625,1.3541666666666667,0.44166666666666665,0.5633333333333334,76.95666666666666,98.08333333333333,0.315,0.41,1.8508333333333333,2.408333333333333,22.103333333333335,28.713333333333335,3.214166666666667,4.156666666666667,16.156666666666666,20.955833333333334,4.988333333333333,6.48,17.169166666666666,22.375,1.7083333333333333,2.2241666666666666,4.133333333333334,5.38,3.2308333333333334,4.195,0.7516666666666666,0.9783333333333334,1.3316666666666668,1.7275
Guadeloupe,55.34,44.66,0.86,1.9375,1.155,2.59,42.644999999999996,95.4725,0.34500000000000003,0.8075,0.2125,0.495,5.705,13.3675,0.325,0.7525,7.6325,17.9025,0.9625,2.245,23.995,56.295,0.7275,1.7175,0.6,1.3975,1.2525,2.93,0.2225,0.5275,0.6675,1.5575
Guyane,64.495,35.504999999999995,0.78,2.17,0.525,1.445,34.2,96.38499999999999,0.28500000000000003,0.8500000000000001,0.235,0.71,4.8549999999999995,14.125,0.49,1.435,6.01,17.405,1.5,4.38,17.37,51.155,0.5,1.4249999999999998,0.895,2.5999999999999996,0.935,2.63,0.44,1.29,0.68,1.9949999999999999
Haut-Rhin,26.058333333333334,73.94166666666666,1.2016666666666667,1.6266666666666667,0.44166666666666665,0.5933333333333333,72.29666666666667,97.78000000000002,0.425,0.5850000000000001,0.8666666666666667,1.2,20.248333333333335,28.013333333333332,2.063333333333333,2.841666666666667,19.845,27.381666666666664,5.6816666666666675,7.861666666666667,12.551666666666668,17.44333333333333,0.9166666666666666,1.27,3.5833333333333335,4.955,3.026666666666667,4.183333333333334,0.53,0.7316666666666666,2.563333333333333,3.5316666666666667
Haute-Corse,37.32,62.68,1.13,1.805,0.6799999999999999,1.08,60.875,97.11,0.2,0.325,2.09,3.4299999999999997,10.675,17.534999999999997,6.625,10.91,17.08,28.04,7.475,12.285,8.075,13.235,0.745,1.22,1.96,3.215,4.3100000000000005,7.075,0.595,0.97,1.065,1.75
Haute-Garonne,19.893,80.107,1.073,1.337,0.6799999999999999,0.86,78.353,97.801,0.318,0.40700000000000003,1.7440000000000002,2.226,21.034,26.785000000000004,3.747,4.782,13.857,17.659,5.419,6.906000000000001,20.740000000000002,26.581,2.1100000000000003,2.694,4.6259999999999994,5.9,2.93,3.728,0.524,0.6689999999999999,1.307,1.6649999999999998
Haute-Loire,20.525,79.475,1.56,1.9649999999999999,0.675,0.855,77.235,97.18,0.565,0.73,1.9449999999999998,2.5250000000000004,17.93,23.215,4.404999999999999,5.71,21.225,27.475,5.25,6.79,13.54,17.535,1.38,1.7850000000000001,3.175,4.11,5.305,6.87,0.6599999999999999,0.8600000000000001,1.85,2.4000000000000004
Haute-Marne,25.795,74.205,1.15,1.55,0.635,0.85,72.425,97.6,0.535,0.74,1.42,1.96,16.785,23.155,2.545,3.51,26.78,37.035,5.0,6.91,10.15,13.995000000000001,0.9949999999999999,1.375,1.955,2.69,3.7,5.1,0.575,0.7949999999999999,1.9849999999999999,2.7350000000000003
Haute-Savoie,23.0,77.0,1.2216666666666667,1.585,0.39166666666666666,0.51,75.38666666666667,97.90666666666668,0.33499999999999996,0.44166666666666665,1.0566666666666666,1.3983333333333334,22.90833333333333,30.371666666666666,2.3733333333333335,3.151666666666667,15.571666666666667,20.663333333333334,5.903333333333333,7.838333333333334,13.83,18.37,1.1583333333333334,1.5333333333333332,5.248333333333333,6.948333333333333,3.9299999999999997,5.21,0.5733333333333334,0.7599999999999999,2.501666666666667,3.3200000000000003
Haute-Saône,21.96,78.03999999999999,1.33,1.705,0.885,1.135,75.82499999999999,97.16499999999999,0.655,0.87,1.595,2.105,17.005000000000003,22.415,2.715,3.575,26.229999999999997,34.6,5.4399999999999995,7.18,11.870000000000001,15.65,1.3199999999999998,1.74,2.415,3.185,3.8049999999999997,5.01,0.73,0.965,2.05,2.705
